10,10,10,54,19,10,10,10,10,10,10,10,10,10,10,10
10,40,32,54,27,12,37,12,49,12,49,12,49,12,8,10
10,16,10,54,19,35,42,10,10,10,10,10,10,10,16,10
10,24,12,57,27,43,37,12,50,25,50,12,50,25,20,10
10,16,10,54,19,10,30,10,47,56,14,4,10,16,16,10
10,16,10,54,19,10,30,10,48,23,0,5,10,7,20,10
10,24,12,57,27,29,43,12,25,29,28,29,25,12,20,10
10,58,10,54,19,10,1,10,58,10,1,10,16,10,16,10
10,16,10,54,19,10,16,10,16,10,16,10,16,10,16,10
10,24,12,57,27,12,21,12,21,12,21,12,21,12,20,10
10,58,10,54,19,10,16,10,16,10,58,10,16,10,16,10
10,16,10,54,19,10,16,10,16,10,16,10,58,10,16,10
10,24,12,57,27,12,28,12,17,12,28,12,17,12,20,10
10,16,10,54,19,10,10,10,40,39,35,39,58,10,16,10
10,16,10,54,19,10,10,10,16,38,42,38,41,10,16,10
10,24,12,57,27,12,25,12,17,12,25,12,17,12,20,10
10,16,10,54,19,10,16,10,16,10,16,10,16,10,16,10
10,16,10,54,19,10,16,10,16,10,58,10,58,10,16,10
10,18,10,54,19,10,16,10,16,10,16,10,16,10,16,10
10,17,10,54,19,10,7,12,28,12,28,12,28,12,9,10
10,10,10,54,19,10,10,10,10,10,10,10,10,10,10,10
